What does torch.no_grad() do?,Disables graph construction for inference or manual updates (saves memory)
What does .detach() do?,Cuts a tensor from the autograd graph while sharing its data
The four steps of an optimizer step in order,"zero_grad, backward, (clip_grad_norm), step"
SGD with momentum idea,Accumulate an exponential average of past gradients to smooth and accelerate the trajectory
What does Adam track per parameter?,Running means of the gradient (1st moment) and squared gradient (2nd moment)
AdamW vs Adam,"AdamW decouples weight decay — applied to weights directly, not folded into the gradient"
What does gradient clipping do?,Rescales the gradient when its global norm exceeds a threshold to prevent loss spikes
What is learning-rate warmup?,Ramp LR up from ~0 over the first steps before the main decay to avoid early instability
What is a cosine LR schedule?,Decay LR from peak to a floor along a half-cosine curve after warmup
How is BPE trained?,By repeatedly merging the most frequent adjacent symbol pair into the vocabulary
What is global batch size?,micro_batch * grad_accumulation_steps * data_parallel_world_size
Why gradient accumulation?,Reach a large global batch under limited memory by summing grads over micro-batches before one step
"When accumulating grads, why divide loss by N?","So gradients average rather than sum, matching a true large batch"
What must a checkpoint save to resume exactly?,"model weights, optimizer state, step, and RNG state"
What is MFU?,"Model FLOPs Utilization — achieved model FLOPs / hardware peak FLOPs, typically 40-55%"
Training FLOPs rule of thumb,"~6ND: about 2ND forward + 4ND backward, for N params and D tokens"
Forward-pass FLOPs per token (dense)?,About 2N for N parameters
What is arithmetic intensity?,"FLOPs per byte moved; low means memory-bound, high means compute-bound"
What does a roofline plot show?,Whether a kernel is memory-bandwidth-bound or compute-bound versus peak
HBM vs SRAM,"HBM: large slow off-chip DRAM; SRAM: small fast on-chip memory kernels keep their working set in"
Key idea of FlashAttention,"Tile attention and never write the full T x T scores to HBM — exact, less memory and bandwidth"
bf16 vs fp16 for training,"bf16 has fp32's exponent range (no scaler); fp16 has more precision but a narrow range (needs GradScaler)"
What stays fp32 under mixed precision?,Master weights and optimizer state; only forward/backward compute is low precision
What does all-reduce do?,Sums or averages a tensor across all workers and returns it to every worker
How does DDP use all-reduce?,"Each worker holds a full model copy; gradients are averaged with all-reduce each step, overlapped with backward"
What does FSDP/ZeRO shard?,"Optimizer state, gradients, and parameters across workers to fit larger models"
Tensor vs pipeline vs expert parallelism,"Tensor: split a matrix; Pipeline: split layers into stages; Expert: place MoE experts on different devices"
What is the Chinchilla finding?,"For fixed compute, scale params and tokens together — roughly 20 tokens per parameter"
What do Kaplan scaling laws describe?,"Power-law relationships between loss and compute, params, and data"
What is dataset contamination?,"Test examples leaking into training data, inflating benchmark scores"
What does MinHash estimate?,"Jaccard similarity between documents cheaply, for near-duplicate detection"
What is SFT?,"Supervised fine-tuning on instruction-response pairs, with loss on the response tokens"
What is a chat template?,Fixed role markers and special tokens turning a conversation into one token stream
What is loss masking in SFT?,"Set prompt/system target ids to ignore (-100) so loss is only on tokens the model should produce"
What is LoRA?,"Freeze base weights, train a small low-rank update BA per matrix — far fewer trainable params"
What is QLoRA?,LoRA on top of a 4-bit quantized frozen base model so large models fine-tune on one GPU
Bradley-Terry preference probability,"P(A beats B) = sigmoid(r_A - r_B), the reward-model training objective"
What is a reward model?,A model trained on preference pairs to score outputs; supplies the RLHF reward
What is the RLHF pipeline?,"Fit a reward model to human preferences, then optimize the policy against it (e.g. PPO)"
What is an advantage in policy gradients?,How much better an action was than a baseline (A = R - b); lowers gradient variance
What does the KL penalty do in RLHF?,Keeps the policy close to the reference model to prevent reward hacking and collapse
What does PPO clip?,"The policy ratio, keeping each update near the old policy"
DPO in one line,Optimize preferences directly with a classification-style loss — no reward model or RL loop
How does GRPO differ from PPO?,It drops the value network and estimates advantage from the mean reward of a group of samples
What is RLVR?,"RL with Verifiable Rewards — an automatic checker (math answer, unit tests) supplies the reward"
What is a verifier?,An automatic checker that judges output correctness and supplies the reward
What is chain-of-thought?,Emitting intermediate reasoning steps before the final answer to improve multi-step accuracy
What is self-consistency?,Sample several reasoning chains and take a majority vote over final answers
What is STaR?,Bootstrap reasoning by fine-tuning on model-generated chains that reached the correct answer
Process reward vs outcome reward,"Process: score each reasoning step; Outcome: reward only the final answer's correctness"
What made DeepSeek-R1 notable?,Reasoning emerged largely from RL on verifiable rewards (GRPO) with little SFT
What is distillation?,Train a smaller student to imitate a larger teacher's outputs (logits or generated data)
What is a tool schema?,"A machine-readable declaration of a tool's name, description, and JSON parameters"
What is function calling?,A model emitting a structured call (name + JSON args) the harness executes and feeds back
What is the ReAct pattern?,Interleave reasoning traces with actions (tool calls) so thinking and acting inform each other
What is an ablation?,An experiment removing/changing one component to measure its contribution
What is pass@k?,The probability that at least one of k sampled solutions is correct
What does F.scaled_dot_product_attention with is_causal=True do?,Runs fused (FlashAttention-style) causal attention without materializing the full score matrix
"In generation, which position's logits predict the next token?",Only the last position's logits
